renewables [MW],electrical load [MW]
14872,58567
14437,58147
13821,58180
13936,58915
13614,59647
13320,61098
14023,65578
16650,69466
20036,71848
22299,72022
24834,72879
27294,73528
28996,73551
29961,72885
29230,69935
27603,68473
23684,65833
19732,64918
15972,63885
12839,64432
12741,64693
10319,62475
9133,61324
8595,58051
8078,55499
8170,54624
8468,55589
8767,56639
9064,57356
9521,58698
10305,62848
13906,66672
18548,69405
21785,70607
26635,72356
30907,72872
33581,71602
34203,71345
32833,69623
29969,68069
25422,65073
19507,63148
13825,61981
11422,61768
11233,63767
10321,62133
8878,59696
8528,56797
8373,55591
8343,54983
8214,54917
8330,55637
8291,55764
8261,57892
9375,62482
13609,65997
19603,68549
23556,69337
28888,69908
32250,71540
33959,72654
34581,71812
33509,69240
30379,67023
25227,64420
19678,62644
14317,61767
11935,60681
13466,61178
13275,60687
13808,58220
14657,55067
15060,51622
15179,49927
15431,49054
15706,48752
16091,48943
16939,49281
18079,50676
20511,53220
24427,56180
28461,59654
32025,61331
37453,63785
41477,64286
42887,63724
42902,62399
41574,62801
39152,59833
35883,57987
33422,59035
33291,59651
30809,59336
29372,57361
27836,55190
26370,52121
25003,49640
23887,49219
22154,47654
20438,47210
18773,47343
17609,47704
17232,47072
19143,48596
22667,50809
26741,54996
33393,58602
39304,61377
42481,62305
42626,59845
41716,58650
39983,57367
37329,55535
32344,54674
27703,53439
24659,53188
24467,54265
24989,54907
33638,62520
31249,55624
33296,56149
33719,55302
33877,55163
32384,54437
30251,53806
28720,56761
29444,63703
30888,68240
32669,71466
36452,74182
40397,74909
43199,76365
43923,76291
44093,75991
43662,73565
41756,71794
38218,70076
33101,67811
27058,67868
21212,66547
18820,65952
17131,63913
14801,61124
13419,57992
12494,55415
12012,54515
11843,54395
12468,55706
13530,57986
14935,60947
17046,66935
22022,70901
25471,72794
28695,72679
35024,75153
40919,75026
44420,75174
45987,75807
45366,74713
42828,72221
38388,68782
32389,67030
27207,65278
22768,64523
21598,64150
20527,61989
19438,58651
18708,54969
18163,54599
18087,55188
17899,54890
17658,55482
17504,56565
17573,59148
19429,65038
24003,69533
27083,71395
31305,70390
38734,74194
46449,77476
51681,79697
53591,79594
53901,78417
52652,77149
48525,74228
41920,70363
33491,69116
27234,65963
25697,65560
22596,64016
20499,60408
18900,58363
17260,55803
15662,54406
14329,53925
13626,54730
13319,56053
13291,57907
14362,64201
18656,68021
22600,70472
27185,70021
30875,71923
33171,73529
35159,74268
35762,73631
34392,72293
32064,70939
28740,68428
24371,67139
20491,66227
18523,65013
18034,63576
15484,61670
13794,58255
13134,56648
12908,55589
12759,54511
12617,54553
12519,55699
12554,56715
12981,58203
13995,64476
17593,69403
21262,72018
23828,72042
26064,74638
28108,75258
28689,74647
29263,73442
29037,71342
28364,68452
27092,69456
25213,68703
22749,68329
20076,66556
18206,65096
17820,63537
17898,61137
16549,57374
15774,54643
14939,52242
14192,50459
13607,50734
13326,52154
12882,51834
12907,52184
15963,54863
20215,58482
26134,61604
30592,63934
32998,64239
32802,63042
33167,64853
33512,64335
32576,61422
29488,59006
24685,58464
19382,58340
15490,55967
14604,55251
14163,55082
13368,53447
12594,50933
12158,49367
11588,47946
11137,46459
10705,46592
10426,46987
9899,47209
10023,47088
13026,49382
18726,52581
24482,55686
30191,58814
34228,59621
36689,59336
36987,57128
35706,55767
32859,54058
28691,53486
23094,51737
17331,51529
13359,51392
12847,53194
13029,54427
12889,53408
12500,49901
11942,49220
12093,48833
11841,48741
11711,50711
11884,52284
12550,55424
14562,62322
19289,67238
23331,69485
27493,71016
33273,73372
37693,73638
40249,74171
41645,74332
41234,73630
38727,71251
34305,69417
27987,66619
21719,64776
17025,63626
16691,63050
15664,61529
14971,59962
13691,56991
12518,54727
11896,53349
11524,53103
11744,53979
12802,55750
14859,58039
17585,64170
23265,68654
28023,70427
32079,71098
38281,71882
44101,75105
48013,76743
49655,76591
49176,75536
47465,74650
43183,72378
36645,68472
29362,66758
23522,65415
21172,64652
20520,63166
20021,61097
19383,57289
18651,55252
18261,54458
18204,54214
17983,55434
17678,57226
17666,59798
18302,65523
19882,70010
23020,72723
26355,73271
29782,74509
32348,75404
33211,74583
33435,72750
32638,71662
31038,69930
27702,68356
22880,66695
16758,65469
12978,65460
11257,64975
11537,64450
11134,61367
10786,57748
10819,55680
10836,55042
11084,54774
11254,56226
11196,57823
11151,60709
12217,65525
15383,68925
19598,71362
23347,71670
27676,72535
30913,73539
33215,73561
34211,71558
33737,70672
31913,69296
27997,66772
22629,65682
16728,64504
13156,63227
11678,64733
10973,63893
10353,60767
9871,56711
9454,55208
9346,54173
9137,54429
8987,55294
8720,56938
9037,59447
10255,65070
14671,68546
20606,70227
25659,70955
30605,72793
35080,72111
37927,72237
39249,72431
38785,70990
36089,69294
31545,66806
25373,64718
17860,62835
12411,61717
10983,60990
11171,61453
11999,58318
12317,54564
12660,52939
13842,51750
14899,51628
15502,52536
15691,52930
15732,53090
15799,53801
18374,55976
21079,59008
23678,61552
25101,63416
26690,64213
28171,61828
29039,60735
28501,59679
26641,58442
23577,55886
21029,55470
18002,55792
15837,55418
14398,53955
14421,53301
14061,51527
13832,48518
13498,46489
13141,45344
12547,44400
12460,44755
11699,45010
11122,46457
10970,45424
12515,46807
15476,50272
20018,51696
24543,54057
27832,56041
29184,57066
29711,55694
28808,54275
27044,54160
23281,52051
18654,51935
14603,53222
11673,52994
10346,52784
10797,52414
9638,51420
9308,50338
9167,48748
9279,48424
9613,48139
9872,49906
10404,51563
11014,55006
12434,61495
17042,66298
20504,69926
23269,71079
26980,72648
30152,74337
30759,74672
30948,74222
30680,73675
29406,72594
27929,70867
25216,69897
21660,68383
19256,67488
16902,65942
15795,64275
14478,61543
13873,58465
13594,55726
13399,54922
12706,54021
11854,55562
11215,56548
11175,58094
11892,64194
15345,68551
18979,71638
21842,72293
24654,73856
26870,74455
28142,73682
28701,72968
28581,71787
28401,70191
28902,70186
26556,68793
22816,68637
19765,68089
18163,66898
16719,65133
16375,62106
16139,59073
16269,57767
16322,57561
16200,57062
16172,58040
15933,59614
16208,61514
17256,66519
20928,70056
25624,72531
31071,73290
36769,74612
40726,75929
41336,74928
40523,73583
38668,71012
35019,68243
30868,66184
25918,64165
20620,63119
17534,63226
16550,62620
16636,62764
17256,59680
16938,56394
17192,55773
17011,53890
16626,53639
15482,53546
14795,55153
14659,56444
15434,62323
18432,66493
21756,69059
25181,70540
29944,72273
33834,74296
34273,73229
34688,72554
34050,72076
32076,71192
28302,69094
23361,66333
19340,66232
16848,65091
15982,63676
14250,60692
13927,56716
13621,52737
13538,50186
12784,49135
12680,48521
12627,49109
12493,49051
11839,48777
11984,48612
13208,48877
16033,51489
19542,53689
21812,55013
22886,57206
23326,56399
23707,55486
23840,54050
22438,52905
20356,52407
17443,52022
14593,51326
13021,50986
11818,50708
11827,51708
11610,51013
10671,48093
9569,46344
9239,45579
9088,45562
9150,46323
9135,46852
8868,47832
9613,49429
12226,51246
16485,54608
21436,56975
25269,59264
27656,59671
28763,59383
28740,56667
27700,56109
25558,55575
22427,53597
19068,53072
16821,52599
13829,52049
12340,53018
12508,53333
12720,51834
13004,49069
12145,46682
12834,44953
13094,43684
13908,45335
14407,45635
15195,46401
16212,47315
17960,48046
19862,49823
22565,51214
26085,54076
30153,56943
32425,54899
32493,55712
31413,52863
29361,51930
26807,51685
25267,52138
23802,52132
22644,51742
22184,51548
22362,52216
22113,51558
21811,48676
21307,47272
21357,46672
21333,49152
21390,49647
20748,50281
20118,53264
21745,59588
24674,64730
27067,66926
30354,68036
34653,69632
36954,71124
37387,70989
36538,69981
33175,67404
30074,65951
25652,64245
21046,63777
16105,63227
14316,62602
12712,60885
14334,60318
15357,57397
18091,53096
20570,50572
23282,50089
24273,50600
24664,51167
25045,53267
26155,55754
27850,61616
31849,64915
34573,67295
34725,68149
35815,70786
37996,74000
40725,74386
41651,72115
39723,69637
37712,69261
37255,68906
37601,70241
35432,67865
32057,64706
28262,62229
26305,60779
23002,56544
20452,52544
18036,53009
17682,54166
17574,53285
17260,53932
17128,55812
17232,57607
18375,62344
22854,66448
26479,69522
29328,69940
34152,71775
39296,72906
42185,72863
43506,71865
44596,70604
43751,69822
41125,68159
37068,67219
31517,65940
26889,64120
25434,61391
24947,62684
25011,60557
24210,55637
24069,55412
24540,55391
25213,55285
25704,56161
25817,56702
25956,58334
27245,64317
30395,68832
34123,71041
39663,72798
42909,73806
43626,72438
43355,73241
42582,72611
41731,71763
39136,70268
36043,68344
30652,65993
24923,64831
18970,62790
14922,62579
13203,62500
11841,59456
10460,54863
9456,52531
9545,52895
9697,52259
10006,52577
10253,54249
10373,56316
12093,61665
16342,67070
20699,69616
24657,69259
28543,70903
31804,71991
33209,70702
32953,69813
31950,67748
29405,66576
25564,64340
20707,63465
16738,62424
13908,61252
12867,58799
13766,58477
14592,55317
14792,52277
14899,49451
15303,47806
15356,46806
15708,47493
16232,48861
16587,48817
17789,48697
20224,51270
23529,53701
27872,57502
31475,58807
34609,60339
37538,60214
38821,58931
39559,57869
39075,57619
36633,56482
32996,56442
29711,55460
26154,53731
23794,54131
23698,54097
24563,53113
24406,49689
25029,47020
24942,46540
25414,45579
25971,45925
25721,45976
25617,46328
26020,46707
29069,48644
32773,52213
37169,56310
40632,57760
43001,60227
43345,59823
42740,58583
41428,56946
38766,53973
34279,51197
28258,50280
21224,51806
15993,51698
13838,50767
14635,53452
14989,53638
14300,51793
14675,51127
15403,49598
15987,49819
16416,50780
16661,51832
17328,54466
19495,61620
24549,66631
29033,68772
31814,68311
35117,70946
38243,72480
39825,71856
40577,72122
39607,70719
37456,68861
33350,66237
28274,64843
23683,64159
20213,62717
17530,60562
16866,59814
16456,55950
16137,53107
15715,51939
15657,52336
15166,51716
15517,53340
15885,54154
16357,55792
18525,60862
22929,65320
25680,66369
28486,67590
31203,69753
35548,72019
40299,73069
44517,72681
46044,71222
44331,68925
41606,69389
38657,68243
35725,68422
32399,66059
28507,63349
25780,61205
23356,57563
20754,52851
19413,53780
19228,53153
19601,53735
19793,55360
19752,56516
19979,58604
23003,62774
27168,68364
31302,70626
35366,69925
41289,72333
44898,74401
45684,74447
44870,72903
43291,71796
38720,68684
32628,66184
27487,64701
23401,63852
20468,62234
18015,61793
17253,60776
16229,57475
15854,53875
14975,48699
14373,46791
14339,47930
14204,48765
14282,49382
14120,48546
14809,48744
17549,50970
21174,53028
24855,55499
27354,55103
29750,56287
30283,56233
30560,56153
29951,55448
27449,54147
23903,51968
20298,51530
16286,51761
13354,51803
12258,52995
12277,52907
12443,51688
11428,46871
11134,45595
11156,46153
11228,45502
10906,46432
11047,47521
11527,48445
13088,54071
15947,58466
19581,61761
22218,63434
24732,63715
26219,65020
28276,64871
29972,64573
30658,63288
29473,62413
27083,60890
23405,60212
19123,58950
16065,57667
14003,55808
13947,55022
13931,52750
11727,50507
10632,48656
10611,48196
10880,47173
11079,48087
11182,48704
11467,49193
13430,49993
17104,52784
22673,55912
27375,58835
31475,59060
34546,60231
36269,58681
36175,57734
34901,57171
32419,55906
30252,55215
27831,55369
25632,55524
23053,54148
22138,52898
21417,53659
21241,51830
20789,49273
20212,46334
20101,45327
19724,44844
19818,45373
19367,45836
18520,45058
18436,44471
20322,46419
24798,49327
30794,53129
35853,55820
39454,57029
40463,56974
40767,56917
40459,55509
39655,55174
36394,53852
32161,52650
27728,53935
21730,52802
16655,51312
15884,53562
15732,54217
14642,51517
13436,50237
13094,49654
12736,49872
12439,51543
12030,53023
11897,55456
13878,62190
19163,67260
23489,69749
27697,69204
32148,71988
35962,72592
38733,71661
39729,72409
39911,71856
38867,70988
35222,68652
30043,66130
24312,65361
21578,64462
19526,62845
19583,61949
20529,58973
20023,57028
19237,54916
18407,53792
17877,51130
17913,52757
17577,55271
17533,56844
19690,62324
23069,67669
27018,70795
31558,73711
35928,74469
39378,73444
40675,73115
41167,73133
41188,72240
38690,70386
34645,68606
29529,67776
25154,66102
20543,65292
16340,64037
14767,62766
15255,61003
13954,57066
13368,55386
13369,54231
13142,53940
12859,54973
12839,56346
12918,58553
14080,62920
17902,68521
21142,71066
23785,71160
25061,72411
26556,73656
26111,72465
25584,72093
25596,71310
25141,70372
23231,70039
20629,68394
18111,65474
15677,65581
13011,63655
12971,62223
12900,60452
12815,57352
12441,55194
12579,54104
12491,55196
12252,55842
12092,56818
12110,58636
13442,63227
17952,67444
21906,69254
25430,69943
28292,70923
30451,72584
29864,71720
28872,69836
28398,68735
27556,67349
25214,66162
22192,64567
18760,63737
14813,63672
11581,61596
10771,63001
11005,61022
10291,57353
10326,56222
10282,55009
10078,55259
9855,56428
9585,58281
9900,59047
12254,63182
18512,68378
22652,70518
27219,71125
31340,70707
33492,72025
33857,71284
32776,70498
31030,68990
28447,66875
25605,65160
21891,64598
18247,63585
14770,62055
12089,59692
11552,57936
11449,56235
11383,53497
10634,50611
10771,48921
10417,48056
10464,47899
10435,49251
10756,47765
12487,50326
14701,51821
17470,54876
20717,58200
24083,61480
27084,62478
28230,60726
27876,59281
26676,57774
25094,56334
23155,55156
20572,54756
18397,53972
15635,53256
13762,51763
13103,50918
13061,49467
11759,46098
11063,43610
10760,40926
10128,40270
9683,41096
9188,41589
9132,41855
10231,42060
12762,43980
16124,46937
20206,48714
23863,50475
26618,52579
28051,52857
27709,51278
26390,50366
24227,50628
21914,49400
19017,48305
15753,48828
12625,48575
12412,47359
12756,47350
13174,46788
11081,44253
10299,42537
10405,41887
10335,41109
10512,41640
10450,43123
10683,43812
11821,44849
13779,43918
15986,45684
19303,49048
22724,52063
25890,54301
28293,55474
27939,53900
26704,52248
25103,52693
22912,50638
20762,50808
18067,51796
15582,51415
13864,51560
13572,51657
14850,51650
13856,48579
12531,48205
12587,48406
12571,48594
12688,50199
12598,51315
12351,52766
13843,58616
18568,64700
22401,68197
25701,69863
28441,71059
31029,72564
31216,72482
30555,71343
29681,69024
28206,69515
26193,66759
24151,67903
21908,66860
19222,65648
16179,63552
15788,63235
16381,61540
16629,58217
15970,54980
16227,55019
16853,55932
17051,57093
16678,57497
15992,58800
17367,63634
21133,68608
24402,70987
26888,72067
29114,73741
29826,74171
27902,73488
27572,72833
28344,71951
27012,70554
24162,68209
21380,66080
18305,66909
15793,64160
12920,63998
11757,64780
13367,63128
14241,59712
15180,56945
15735,55834
16382,56368
16869,56668
18312,58332
19515,60571
22418,64459
25887,68702
30409,71196
35476,72383
40068,74203
43253,73785
45632,73259
45921,73283
45355,72124
43262,70769
40021,70644
35298,69324
29286,67876
24314,65614
18802,62238
16673,60654
15666,59520
14114,56733
13523,54087
13294,52313
13117,52826
13090,54141
12952,54901
13007,56152
15037,61331
20074,66102
23949,67692
27444,69301
30860,70617
32493,70992
33187,70552
32753,69097
33086,68422
31973,67688
29480,65688
26185,64285
23080,64354
20059,62605
17981,61579
18932,61330
21008,58793
21926,55042
23027,51920
24141,49905
24225,49494
23596,50529
22622,51206
22058,50562
23033,50324
24156,52930
27932,57323
33113,61342
36012,62216
38599,62926
39954,62556
41279,62505
41085,61555
40413,61336
38728,59164
34372,56338
29343,56164
24921,54487
21252,51616
19537,52091
19177,51902
18438,49522
17473,47622
16753,45498
16683,45093
16671,46034
17033,47344
17243,47241
18652,47517
21354,47789
24756,50128
29571,52888
33871,55445
37084,56339
39510,56856
40585,57769
40138,56184
38751,55031
36664,54657
33916,54243
31025,53979
27995,53338
25170,51722
25281,51227
26386,51978
26141,49135
25410,48055
25091,47506
24245,47053
23048,47377
21559,49186
20038,53799
20207,59938
21595,66515
23918,70385
27330,71905
29885,73810
30868,74733
30267,74170
29524,72978
28229,72072
25889,70741
24031,69264
21494,68269
19250,67243
16692,65689
13700,63063
12277,61891
13624,60260
14818,56404
15849,54807
17580,53301
18867,53520
19646,53684
20137,54446
21775,57375
25674,64188
32469,70069
38664,72833
43092,72477
48159,73460
50890,74299
52160,74918
52462,74933
53647,75519
53007,74235
50299,72160
46041,70490
40698,68160
36775,66951
31649,63604
30100,61528
30101,59341
29280,55338
29118,54993
28815,53297
28188,53130
27009,53163
25967,55813
25640,56875
27581,60974
31490,66407
35965,70331
40991,72442
44938,74069
47702,75743
48077,75329
48650,75539
48146,74441
46050,72966
41560,70569
36226,67666
30594,66000
25574,64341
19747,60871
16581,58444
16747,56550
13451,52960
12363,51731
11665,47017
11161,47122
11027,49818
10662,50552
10531,50016
12413,50810
16484,52969
22700,55956
27615,58396
31567,61486
34408,62608
35635,62673
36049,62443
35361,60745
33280,59062
29871,57936
24735,56896
19548,56717
16407,56150
14395,54331
14333,53502
15808,53174
16734,50245
17467,48787
17925,46457
18030,47526
18184,48636
18588,49422
19096,51673
20925,55142
25119,60398
28863,63780
32147,65858
35215,67979
38356,69938
40762,69979
40793,69694
39341,69348
36414,67606
32603,64848
28158,63953
24254,62741
20883,61531
17329,58342
17745,56623
19789,56155
20666,52619
20047,50580
19391,49097
18873,47715
18451,48544
18191,48428
18056,48181
19338,50258
21573,53208
24647,56363
28384,59510
32584,62716
36523,63479
39378,64066
40911,62831
40781,61565
38523,60607
35414,59624
30556,57432
25403,55757
21462,54319
18488,52131
17090,50456
17713,49767
16692,47012
15766,44560
15118,42559
14458,41639
13812,41998
13656,43309
13495,43885
14538,44947
16965,46319
21112,48717
26540,51094
30131,53979
33427,55702
35586,57375
36205,57781
35882,56503
34084,54248
30767,53436
26390,52157
22135,52845
18719,52277
16883,50963
16283,50227
17056,50646
15577,47445
14456,47341
14714,45974
14876,46471
14739,46908
14731,47597
14946,51670
16684,58086
19094,63563
22948,67067
24229,68774
27908,69762
30357,72200
30133,70715
29682,67885
29501,67474
28699,66923
26877,65328
24909,64813
23121,64365
20518,61864
18117,59784
16408,57763
16681,56349
16286,54130
15696,53507
15287,52872
14808,51688
14594,51887
14165,53112
13988,55362
15286,58946
17309,63573
20858,67123
23005,68846
24493,68608
25853,70195
25159,69351
25240,69026
24093,68076
23438,66533
21727,64447
20483,63972
18902,64090
15927,62757
13366,60680
12495,58533
13171,56237
12851,55269
12776,54673
12524,54192
12434,53409
12259,53660
12133,54499
12114,56283
14103,59667
18527,64649
22409,66461
25053,68375
27165,69958
29830,71009
30306,70439
29533,69854
28312,68462
27099,67347
25044,65687
22583,65707
19520,65378
17302,64547
14741,61756
13370,59567
14039,58177
13847,55361
13281,53325
12785,51098
12377,51472
12078,52102
11630,52873
11172,53468
12826,57356
17763,62686
21861,66126
25771,68816
28521,69831
30622,70747
31182,69736
31112,69833
30583,68877
29107,67525
26969,66427
23583,65749
20782,64789
18161,63710
13754,61250
11949,60022
13224,58218
12936,55080
12733,52702
12436,52044
12330,51588
12280,52070
12150,54122
12483,55608
14192,57758
18757,63258
23453,66855
28216,69419
31410,71699
34618,73048
35803,72303
35368,71847
34186,70056
31882,67916
27956,65855
23556,65618
18839,64469
15977,62880
12805,60869
11892,58525
12848,57432
13294,54206
13858,51469
13572,49293
13131,48506
13096,48567
12686,48359
12805,48655
14239,50325
17023,53084
20767,56321
23581,59516
26444,61839
28531,63125
30437,63432
31243,61099
32420,61053
32815,60757
31787,60117
29246,58465
26322,57427
22851,55544
19320,52739
18283,51441
18754,50588
17295,47971
16361,45810
16177,45690
15846,44873
15632,45065
15216,45912
15312,47431
16019,47369
18393,47186
22398,50448
26869,52859
30104,54859
32599,56109
33083,56556
33141,56474
31426,54299
28610,53013
26228,52729
23387,52312
20312,53588
18495,53486
16352,52590
15665,51868
16890,52243
15413,48657
14918,47274
14532,46171
14379,46663
14222,47344
13943,49093
14178,50446
15764,57224
19183,62511
21985,65512
24132,66753
26230,68678
28323,70266
29927,70245
30289,69243
30113,68320
29077,67686
26852,65923
24587,65705
21782,65069
19415,64352
15690,61183
13717,59046
13905,57984
13219,55297
12712,52330
12280,50307
11705,51203
11598,52788
11686,53986
11762,54725
13487,58609
17824,64433
22286,68340
25612,68621
28956,71067
31293,72036
30745,71095
29503,69893
28610,69313
28054,68573
26547,66691
23936,65937
21163,64349
18152,63951
14841,61106
12522,58395
12436,58628
12045,56025
11966,55640
12049,53083
11994,53222
12017,53796
12042,54420
12705,56229
14734,61808
19629,66607
25411,68753
30221,69435
34926,71113
37396,72768
38749,72149
39957,72126
39385,70610
37355,68523
34065,66796
30072,65507
25373,64134
21969,63148
18382,61403
16578,59529
16386,58147
15811,55509
15904,54035
15847,51476
15633,51561
15770,51851
15882,52754
16205,55528
17220,59913
19936,64825
22715,67339
24700,68177
27157,70090
29864,71235
30559,70305
30972,70189
31796,69613
31923,69349
30878,67674
28808,66731
26255,65386
23625,64085
21387,61813
19765,60049
19143,58908
18279,56460
18286,53840
18134,52613
17826,52564
17803,53885
17613,55081
17624,55859
19235,60725
23349,65740
25812,69142
27361,70540
30339,72153
32510,73204
33833,72807
35390,70235
34405,69647
31811,67093
29447,67614
26989,67882
23728,66497
20569,65606
17664,63946
16731,62045
16547,59631
16790,55748
16244,53574
15899,50912
15459,49586
15506,50092
15389,50754
15188,50964
15576,51195
17003,53940
19493,57627
22612,60885
25196,62455
26886,63425
28817,62561
29447,58599
29483,57134
28979,56566
27516,56310
24319,55981
21048,55223
17922,54411
14368,51973
12709,52580
13017,51523
12474,48666
12220,46590
11972,45913
11890,45272
11635,45146
11509,46372
11294,46529
12119,47184
13779,48524
16190,50399
19725,52966
22756,55640
24972,57608
24407,57506
23735,54144
23743,53903
23796,53953
22596,53928
21290,53623
19356,52872
16833,52332
14252,51913
14271,51561
15400,51604
15287,50729
15235,49564
15140,48756
15515,49163
15248,50071
14626,50802
14594,52734
15857,58478
18943,64294
21688,67916
23534,69224
25946,72366
28013,73984
27679,73318
28508,72398
26861,71171
24998,69991
23412,68288
21003,67729
18100,67058
16390,66181
13716,63297
12635,61237
12481,59580
12499,57304
12187,55254
12761,54072
13250,53811
13345,53341
13877,54419
14500,55819
16526,60157
19823,65612
23640,68617
27042,70032
30941,72042
32605,73426
32600,71212
33521,70867
34098,70055
33062,68388
31568,69333
28253,68035
25717,67339
22576,66485
20064,64278
19141,62410
20449,60176
20657,57259
20552,55420
20488,53884
19845,53091
19030,54339
18527,55746
18641,56964
20457,61359
23184,66288
26370,69005
28120,70841
30434,73306
32177,74450
31893,74040
32561,72486
33386,71502
32350,69604
29962,67289
26606,66492
22371,65943
19279,64227
15763,61071
13917,61194
13788,59773
13784,55385
13711,54520
13673,53459
13579,53021
13214,53787
12595,54694
12545,55465
14705,59532
18130,63960
22848,67284
25190,67600
28023,70817
30882,72731
31777,71933
32032,70514
30746,69552
28973,68480
26024,66591
22486,65800
17861,64835
14844,63689
11554,61018
10158,58738
10068,57137
9647,53822
9075,53151
9241,53322
9338,52732
9351,52963
9363,53743
9655,54925
12212,59943
16030,62701
19988,65797
23395,67943
27156,70587
29655,71873
30932,70596
30480,69080
29724,68405
27819,67263
24212,64928
20261,64080
15911,63356
13757,61689
10908,58739
10241,57075
11068,55032
11197,52035
11438,50406
11877,48890
12535,48685
12804,48181
12714,47911
13154,48276
14251,49916
16064,51936
18336,55425
20454,58943
23208,60894
25965,61447
27920,60426
31258,60328
33482,59923
33598,58586
32351,57814
29002,55274
25784,55223
23004,54368
19009,51698
17407,49646
16924,48725
16100,46326
15541,44495
15608,44046
14915,44010
14262,44124
13503,44707
12851,45935
13815,46762
16546,46014
21267,48793
26256,51708
30207,54032
32953,56244
34522,56935
34626,56324
33567,56266
31229,54552
27189,52048
22437,51781
18353,52446
14849,52425
12216,51256
11962,51103
12098,51428
11399,48814
11276,46164
11298,44676
11195,45547
10866,48447
10928,49123
11043,50273
13067,55017
16674,61915
20364,66116
23455,68094
27941,70775
32600,72415
34989,71988
34896,71173
34201,70473
32182,69357
29149,67812
25028,66390
21501,65170
17812,64085
14403,60973
12008,59151
12232,57062
11580,52841
10914,51645
10730,50895
10453,51316
10302,51322
10158,54005
10782,54058
13335,56848
18457,63658
22816,67390
26935,68533
30855,70520
34440,72173
35912,71741
35535,71552
34714,70246
33578,69259
30152,67686
26403,66884
21523,65670
18623,64530
15275,62128
13173,60412
13576,59291
14180,56074
14191,53160
14781,52358
14734,52114
14784,52025
14875,53124
14994,53556
17036,59030
22387,64379
27322,68734
30761,71372
34802,73888
38760,75420
40559,75687
41518,75146
40992,73639
39020,71490
35426,70640
31303,69101
26398,68632
22832,67491
20519,64519
20145,62624
21629,61696
22249,59446
22445,57083
21947,55053
21499,54631
21005,54602
20778,55123
20357,56396
22391,60685
25880,66833
29853,71333
33777,73317
38981,75493
41708,78126
43893,78252
44330,77687
43068,76284
41085,74115
37604,71704
32873,70644
27910,69177
24626,68281
21563,65521
20278,62894
20759,61418
20874,58516
20222,57377
19624,56624
17918,55316
15926,55004
14744,55618
13978,56087
15555,60842
19831,66871
24672,70856
28417,72056
31772,74150
32810,76125
33852,75461
34605,75624
33907,74263
32031,71405
28210,68743
24894,67814
19891,66495
16350,65266
12893,62281
11889,59739
12487,58104
12983,55117
13161,53365
12685,52067
12739,51402
13086,51118
12804,50697
13138,50917
14963,52272
18168,53907
22735,57884
27460,60678
31255,63910
34316,65733
36338,65483
36883,63840
35895,62598
33384,60308
29292,59201
24923,58031
21441,57314
18384,56591
15397,54233
14947,53255
15502,52186
15083,49640
14555,48043
13424,46052
11384,45393
11167,45584
10644,45663
10768,46197
11733,47218
14438,48975
19082,51799
23407,54554
27386,57383
30541,59070
32532,60552
33016,60265
32389,59987
30679,58568
27684,57089
25616,57161
23053,56605
20251,54852
16962,53833
18039,55178
19438,54330
20444,52261
20243,50824
18942,47933
18513,48165
18260,49846
19174,51819
19558,52536
21451,57686
25473,64005
28699,68365
33121,71147
38494,73679
41783,74492
43766,76010
44378,75966
42956,74054
39897,72693
35914,71320
30566,70534
24626,67969
18671,66327
14764,63479
12225,60918
12997,58963
10946,55390
10390,53075
10067,52284
10253,52400
10362,52725
10616,53962
11335,56949
13818,62261
18309,66395
23767,69827
28670,70901
31965,73326
35074,74401
36361,74258
36601,73435
35181,71642
32809,70775
29458,69398
26712,69135
22726,68235
20553,67945
19577,66535
19947,63225
20707,59863
19788,56122
19937,54612
20743,53979
21336,55297
21641,54996
21632,54574
21861,56092
23535,61059
27783,64879
31838,69568
36890,71234
41127,73260
44092,75277
45554,74636
47047,75718
47529,74013
47500,72367
45167,70356
41964,67995
37595,66332
33001,64117
28038,62568
25838,60745
25229,58868
24435,55864
24371,54022
24404,53242
24003,52615
23690,53547
23593,54377
23897,56217
26559,61686
29806,66806
34071,69152
38160,70138
42185,72676
44868,74255
46058,73292
46798,73813
46469,72367
45981,72112
44043,70010
40928,68118
37570,66788
32940,65333
28138,62687
25174,60470
24256,60518
23573,58540
22138,55997
22117,54791
21981,56770
21836,57092
21537,57488
21266,58504
23253,61073
27219,65714
33264,68122
38700,70583
41652,72280
43690,73094
44878,73355
45072,73253
44132,71914
41582,70286
37439,67792
32015,64823
25689,63263
19652,61791
16100,58667
13084,56546
13521,55039
12728,52499
11650,50551
11857,47791
11520,47332
10996,47347
10604,46979
10940,47399
12666,48594
16261,52445
20801,56163
25677,58854
29714,61660
32696,63379
33570,61310
34320,60946
33835,60454
31969,58748
28577,56781
24238,55537
20183,54927
16256,53986
13248,52490
11989,50558
12621,49809
12126,47421
10995,44341
12076,44332
11878,43052
11921,42191
11777,42326
11760,42393
13309,43568
16530,46388
20407,48791
23966,52131
27674,56027
31088,57716
32231,57022
32335,56531
31147,55647
29086,55649
26344,55383
22802,54186
19741,53081
17852,52378
15276,51725
14789,51560
15044,51457
13698,48974
13236,47771
13217,46965
13196,46402
12798,47462
12461,48284
12495,50496
13302,56860
15065,62534
17906,65948
20601,68102
23278,70250
25124,71973
25907,71984
24829,71176
24132,69913
22575,68652
20248,67413
19297,67635
18056,65990
16444,65009
14588,62275
13609,59636
13258,57414
12549,54179
12336,53084
12473,51973
